學校名稱,年級,GPA,TOEFL,雅思,全民英檢,日文檢定,韓文檢定,法文檢定,德文檢定,國家
聖保羅大學  University of São Paulo,2,0,0,0,0,0,0,0,0,巴西
里約熱內盧天主教大學  Pontifical Catholic University of Rio de Janeiro,2,3.0,79,6.0,0,0,0,0,0,巴西
坎皮納斯州立大學  State University of Campinas,2,0,0,0,0,0,0,0,0,巴西
魁北克大學蒙特婁分校  Université du Québec à Montréal,2,3.2,80,6.0,2,0,0,4,0,加拿大
愛德華王子島大學  University of Prince Edward Island,2,0,80,6.5,0,0,0,0,0,加拿大
蒙特婁大學  University of Montreal,2,2.7,0,0,0,0,0,4,0,加拿大
拉法爾大學  Laval University,2,0,79,6.0,0,0,0,5,0,加拿大
女王大學  Queen's University,2,2.6,88,6.5,0,0,0,0,0,加拿大
滑鐵盧大學  University of Waterloo,2,2.7,90,6.5,0,0,0,0,0,加拿大
西門菲沙大學  Simon Fraser University,2,0,88,6.5,0,0,0,0,0,加拿大
渥太華大學  University of Ottawa,2,3.0,86,6.5,0,0,0,0,0,加拿大
多倫多大學  University of Toronto,2,0,89,6.5,0,0,0,0,0,加拿大
維多利亞大學  University of Victoria,2,0,90,6.5,2,0,0,0,0,加拿大
加拿大英屬哥倫比亞大學(卑詩大學)  University of British Columbia,2,2.8,90,6.5,0,0,0,0,0,加拿大
智利天主教大學  Pontifical Catholic University of Chile,2,3.3,0,0,0,0,0,0,0,智利
蒙特雷科技大學  Monterrey Institute of Technology and Higher Education,2,3.38,80,6.5,0,0,0,0,0,墨西哥
墨西哥國立自治大學  National Autonomous University of Mexico,2,3.38,80,6.5,0,0,0,0,0,墨西哥
斯克蘭頓大學  University of Scranton,2,0,80,6.5,0,0,0,0,0,美國
斯克蘭頓大學  University of Scranton,2,0,80,6.5,0,0,0,0,0,美國
北卡羅來納大學格林斯伯勒分校  The University of North Carolina at Greensboro,2,3.0,80,6.0,0,0,0,0,0,美國
奧瑞岡州立大學  Oregon State University,2,2.7,80,6.5,0,0,0,0,0,美國
匹茲堡大學  University of Pittsburgh,2,3.0,80,6.5,0,0,0,0,0,美國
康乃狄克大學  University of Connecticut,2,3.3,79,6.5,0,0,0,0,0,美國
喬治梅森大學  George Mason University,2,2.7,80,6.5,0,0,0,0,0,美國
"新澤西州立羅格斯大學  Rutgers, The State University of New Jersey",2,0,79,6.5,0,0,0,0,0,美國
南卡羅來納大學  University of South Carolina,2,0,79,6.5,0,0,0,0,0,美國
伊利諾大學香檳分校  University of Illinois at Urbana-Champaign (UIUC),2,3.3,80,6.0,0,0,0,0,0,美國
北卡羅來納大學教堂山分校  The University of North Carolina at Chapel Hill,2,3.1,85,6.0,0,0,0,0,0,美國
威斯康辛大學麥迪遜分校  University of Wisconsin-Madison,2,0,95,6.5,0,0,0,0,0,美國
天普大學  Temple University,2,3.3,79,6.0,0,0,0,0,0,美國
猶他大學  The University of Utah,2,2.6,80,6.5,0,0,0,0,0,美國
夏威夷太平洋大學  Hawaii Pacific University,2,3.3,79,6.0,0,0,0,0,0,美國
夏威夷大學希羅分校  University of Hawai‘i at Hilo,2,3.0,79,6.0,0,0,0,0,0,美國
紐約州立大學 阿爾伯尼分校  State University of New York at Albany,2,3.0,79,6.0,0,0,0,0,0,美國
亞利桑那州立大學  Arizona State University,2,0,79,6.0,2,0,0,0,0,美國
伊利諾大學芝加哥分校  University of Illinois at Chicago (UIC),2,0,80,6.5,0,0,0,0,0,美國
馬里蘭大學  University of Maryland,2,3.3,90,6.5,0,0,0,0,0,美國
奧瑞岡大學  University of Oregon,2,0,79,6.0,0,0,0,0,0,美國
北卡羅來納州立大學  North Carolina State University,2,0,80,6.0,0,0,0,0,0,美國
夏威夷大學瑪諾亞分校  University of Hawaii at Manoa,2,2.7,80,6.5,0,0,0,0,0,美國
喬治亞大學  The University of Georgia,2,3.3,80,6.5,0,0,0,0,0,美國
奧克拉荷瑪大學  The University of Oklahoma,2,0,79,6.5,0,0,0,0,0,美國
加州州立大學  California State University,2,0,79,6.0,0,0,0,0,0,美國
華盛頓大學  University of Washington,2,3.3,83,7.0,0,0,0,0,0,美國
加州大學  University of California,2,3.0,83,7.0,0,0,0,0,0,美國
香港恒生大學（原恒生管理學院）  The Hang Seng University of Hong Kong,2,2.7,79,6.0,0,0,0,0,0,香港
嶺南大學  Lingnan University,2,2.7,79,6.0,0,0,0,0,0,香港
香港大學  The University of Hong Kong,2,3.0,93,6.5,0,0,0,0,0,香港
香港理工大學  The Hong Kong Polytechnic University,2,3.0,80,6.0,0,0,0,0,0,香港
香港城市大學  City University of Hong Kong,2,3.0,79,6.5,0,0,0,0,0,香港
香港中文大學  The Chinese University of Hong Kong,2,3.3,79,6.0,0,0,0,0,0,香港
以色列理工學院  Technion-Israel Institute of Technology,2,3.3,80,7.0,0,0,0,0,0,以色列
兵庫縣立大學  University of Hyogo,2,0,0,0,0,-1,0,0,0,日本
近畿大學  Kindai University,2,2.7,79,6.0,0,0,0,0,0,日本
近畿大學  Kindai University,2,2.7,0,0,0,-2,0,0,0,日本
秋田大學  Akita University,2,0,0,0,0,-2,0,0,0,日本
一橋大學  Hitotsubashi University,2,3.0,0,0,0,-2,0,0,0,日本
一橋大學  Hitotsubashi University,2,3.0,0,0,0,-2,0,0,0,日本
一橋大學  Hitotsubashi University,2,3.0,79,6.0,0,0,0,0,0,日本
一橋大學  Hitotsubashi University,2,3.0,79,6.0,0,0,0,0,0,日本
廣島大學  Hiroshima University,2,0,0,0,0,-2,0,0,0,日本
廣島大學  Hiroshima University,2,0,79,6.0,0,0,0,0,0,日本
名古屋外國語大學  Nagoya University of Foreign Studies,2,0,0,0,0,-2,0,0,0,日本
名古屋外國語大學  Nagoya University of Foreign Studies,2,0,79,6.0,0,0,0,0,0,日本
日本大學  Nihon University,2,0,0,0,0,-2,0,0,0,日本
立命館大學  Ritsumeikan University,2,3.3,79,6.0,2,-3,0,0,0,日本
立命館大學  Ritsumeikan University,2,3.3,79,6.0,0,0,0,0,0,日本
關西學院大學  Kwansei Gakuin University,2,0,79,6.0,0,0,0,0,0,日本
關西學院大學  Kwansei Gakuin University,2,0,0,0,0,-1,0,0,0,日本
長崎大學  Nagasaki University,2,3.0,0,0,0,-3,0,0,0,日本
長崎大學  Nagasaki University,2,3.0,79,6.0,0,0,0,0,0,日本
東京工業大學  Tokyo Institute of Technology,2,0,0,0,0,-2,0,0,0,日本
東京工業大學  Tokyo Institute of Technology,3,0,79,6.0,0,0,0,0,0,日本
橫濱國立大學  Yokohama National University,2,0,80,6.0,0,0,0,0,0,日本
橫濱國立大學  Yokohama National University,2,0,0,0,0,-2,0,0,0,日本
金澤大學  Kanazawa University,2,0,0,0,0,-2,0,0,0,日本
金澤大學  Kanazawa University,2,0,79,6.0,0,0,0,0,0,日本
神奈川大學  Kanagawa University,2,0,0,0,0,-2,0,0,0,日本
青山學院大學  Aoyama Gakuin University,2,2.7,0,0,0,-3,0,0,0,日本
同志社大學  Doshisha University,2,0,0,0,0,-3,0,0,0,日本
同志社大學  Doshisha University,2,0,79,6.0,0,0,0,0,0,日本
上智大學  Sophia University,2,3.3,0,0,0,-1,0,0,0,日本
上智大學  Sophia University,2,3.3,79,6.0,0,0,0,0,0,日本
大阪大學  Osaka University,2,3.3,0,0,0,-1,0,0,0,日本
大阪大學  Osaka University,2,3.3,80,6.0,0,0,0,0,0,日本
名古屋大學  Nagoya University,2,3.3,79,6.0,0,0,0,0,0,日本
名古屋大學  Nagoya University,2,3.3,0,0,0,-1,0,0,0,日本
神戶大學  Kobe University,2,3.3,0,0,0,-2,0,0,0,日本
岡山大學  Okayama University,2,0,79,6.0,0,0,0,0,0,日本
筑波大學  University of Tsukuba,2,0,0,0,0,-2,0,0,0,日本
筑波大學  University of Tsukuba,2,0,79,6.0,0,0,0,0,0,日本
東京大學  University of Tokyo,2,0,90,6.5,0,0,0,0,0,日本
東京大學  University of Tokyo,2,0,0,0,0,-1,0,0,0,日本
東京大學  University of Tokyo,2,0,90,6.5,0,0,0,0,0,日本
東京大學  University of Tokyo,2,0,0,0,0,-1,0,0,0,日本
國際教養大學  Akita International University,2,2.7,79,6.0,0,0,0,0,0,日本
北海道大學  Hokkaido University,2,0,0,0,0,-2,0,0,0,日本
北海道大學  Hokkaido University,2,3.3,79,6.5,0,0,0,0,0,日本
京都大學  Kyoto University,2,0,0,0,0,-1,0,0,0,日本
京都大學  Kyoto University,2,0,79,6.5,0,0,0,0,0,日本
關西大學  Kansai University,2,0,0,0,0,-2,0,0,0,日本
琉球大學  University of the Ryukyus,2,0,0,0,0,-2,0,0,0,日本
琉球大學  University of the Ryukyus,2,0,79,6.0,0,0,0,0,0,日本
東京學藝大學  Tokyo Gakugei University,2,0,0,0,0,-3,0,0,0,日本
東京學藝大學  Tokyo Gakugei University,2,0,79,6.0,0,0,0,0,0,日本
九州大學  Kyushu University,2,3.5,0,0,0,-1,0,0,0,日本
九州大學  Kyushu University,2,3.5,79,6.0,0,0,0,0,0,日本
慶應義塾大學  Keio University,2,0,0,0,0,-2,0,0,0,日本
慶應義塾大學  Keio University,2,0,79,6.0,0,0,0,0,0,日本
東北大學  Tohoku University,2,3.3,0,0,0,-1,0,0,0,日本
東北大學  Tohoku University,2,3.3,79,6.0,0,0,0,0,0,日本
御茶水女子大學  Ochanomizu University,2,0,0,0,0,-3,0,0,0,日本
東京外國語大學  Tokyo University of Foreign Studies,2,0,0,0,0,-1,0,0,0,日本
東京外國語大學  Tokyo University of Foreign Studies,2,0,79,6.0,0,0,0,0,0,日本
明治大學  Meiji University,2,0,0,0,0,-1,0,0,0,日本
早稻田大學  Waseda University,2,3.3,0,0,0,-1,0,0,0,日本
早稻田大學  Waseda University,2,3.3,95,7.0,0,0,0,0,0,日本
創價大學  Soka University,2,0,0,0,0,-2,0,0,0,日本
韓國科學技術院  Korea Advanced Institute of Science and Technology (KAIST),2,3.0,80,6.5,0,0,0,0,0,南韓
延世大學  Yonsei University,2,2.7,79,6.5,0,0,4,0,0,南韓
高麗大學  Korea University,2,2.7,79,6.0,0,0,4,0,0,南韓
國立釜山大學  Pusan National University,2,0,79,6.0,0,0,3,0,0,南韓
成均館大學  Sungkyunkwan University,2,2.7,80,6.0,0,0,3,0,0,南韓
漢陽大學  Hanyang University,2,2.7,79,6.0,0,0,3,0,0,南韓
梨花女子大學  Ewha Womans University,2,2.7,79,6.0,0,0,3,0,0,南韓
順天國立大學  Sunchon National University,2,0,79,6.0,2,0,3,0,0,南韓
浦項工科大學  Pohang University of Science and Technology (POSTECH),2,3.0,79,6.0,0,0,0,0,0,南韓
首爾國立大學  Seoul National University,2,2.7,88,6.0,0,0,5,0,0,南韓
澳門大學  University of Macau,2,2.9,79,6.0,0,0,0,0,0,澳門
武漢理工大學  Wuhan University of Technology,2,3.0,0,0,0,0,0,0,0,大陸地區
北京航空航天大學  Beihang University,2,0,0,0,0,0,0,0,0,大陸地區
華中科技大學  Huazhong University of Science and Technology,2,0,0,0,0,0,0,0,0,大陸地區
貴州大學  Guizhou University,2,0,0,0,0,0,0,0,0,大陸地區
東南大學  Southeast University,2,0,0,0,0,0,0,0,0,大陸地區
